"","Salary","Position_C","Position_PF","Position_PG","Position_PG-SG","Position_SF","Position_SF-PF","Position_SF-SG","Position_SG","Position_SG-PG","Age","GP","GS","MP","FG","FGA","FG.","X3P","X3PA","X3P.","X2P","X2PA","X2P.","eFG.","FT","FTA","FT.","ORB","DRB","TRB","AST","STL","BLK","TOV","PF","PTS","Total.Minutes","PER","TS.","X3PAr","FTr","ORB.","DRB.","TRB.","AST.","STL.","BLK.","TOV.","USG.","OWS","DWS","WS","WS.48","OBPM","DBPM","BPM","VORP"
"352",1563518,0,0,1,0,0,0,0,0,0,22,29,0,5.7,0.5,1.3,0.405,0.2,0.7,0.238,0.3,0.6,0.625,0.473,0,0.1,0.5,0.2,0.7,0.9,0.6,0.2,0,0.2,0.6,1.2,165,7.7,0.475,0.568,0.054,3.9,13.4,8.6,12.4,1.4,0.5,11.7,10.9,0,0.1,0.1,0.042,-4.2,0.6,-3.6,-0.1
"353",1563518,0,1,0,0,0,0,0,0,0,20,69,8,14,1.4,3.4,0.399,0.6,1.8,0.317,0.8,1.7,0.487,0.481,0.5,0.7,0.702,0.5,1.7,2.2,0.5,0.3,0.3,0.6,1,3.8,969,7,0.506,0.517,0.197,3.9,13,8.4,4.9,1.1,2.1,14.5,13.1,-0.6,0.8,0.2,0.009,-4.3,-0.4,-4.7,-0.7
"354",1563518,1,0,0,0,0,0,0,0,0,23,7,0,2.9,0.3,1,0.286,0.1,0.6,0.25,0.1,0.4,0.333,0.357,0.1,0.3,0.5,0.1,0.1,0.3,0,0,0,0,0.7,0.9,20,-0.1,0.381,0.571,0.286,5.8,5.6,5.7,0,0,0,0,17.4,0,0,0,-0.052,-10.5,-3.8,-14.4,-0.1
"355",1563518,0,0,0,0,0,0,0,1,0,23,80,51,26.2,3.5,7.1,0.493,0.7,2.4,0.312,2.8,4.8,0.583,0.545,0.8,1,0.805,0.6,2.2,2.8,2.6,0.8,0.3,1.2,2.3,8.6,2098,10.2,0.567,0.332,0.144,2.5,9.3,5.9,13.2,1.4,1.2,14,14.9,0.7,2.2,2.9,0.067,-3,0.6,-2.5,-0.2
"356",1563518,0,1,0,0,0,0,0,0,0,24,52,22,23.1,2.3,5.5,0.417,1.4,3.9,0.365,0.9,1.6,0.541,0.545,0.6,0.8,0.821,0.5,2.2,2.8,0.8,0.5,0.5,0.6,2,6.7,1199,8.4,0.567,0.705,0.135,2.5,11,6.6,4.8,1.1,2.1,9,11.9,0.5,0.5,1,0.041,-2.1,-0.3,-2.4,-0.1
"357",1563518,0,0,1,0,0,0,0,0,0,20,57,7,16,1.4,4.2,0.342,0.7,2.5,0.286,0.7,1.7,0.423,0.426,0.4,0.6,0.667,0.3,1.4,1.7,2.3,0.5,0.1,1.5,1,4,914,5.3,0.447,0.591,0.152,2.1,9.7,5.9,19.2,1.6,0.7,25.4,15.4,-1.5,0.3,-1.2,-0.062,-5,-1.5,-6.5,-1
"358",1563518,0,0,1,0,0,0,0,0,0,23,14,0,8.9,1.3,2.9,0.439,0.4,1.3,0.278,0.9,1.6,0.565,0.5,0,0.1,0,0.1,1.4,1.6,1.9,0.1,0,0.7,0.5,2.9,124,10.3,0.489,0.439,0.049,1.8,17.9,9.9,30.9,0.8,0,19.3,18.3,0,0.1,0.1,0.021,-2.1,-0.5,-2.6,0
"359",1563518,0,0,0,0,0,0,0,1,0,24,64,22,28.8,4,7.7,0.529,1.3,3.4,0.398,2.7,4.3,0.631,0.616,3.6,4.1,0.864,0.5,2.5,3,3.4,0.5,0.3,1.5,1.7,13,1843,14.9,0.687,0.441,0.541,2,9,5.6,15.7,0.8,0.9,14,16.2,4.1,1.4,5.4,0.142,0.6,0.1,0.7,1.2
"360",1563518,0,0,1,0,0,0,0,0,0,24,61,10,21.5,3.3,8,0.411,1.4,4,0.336,1.9,4,0.488,0.496,1.1,1.3,0.813,0.5,1.9,2.3,3,1.1,0.2,1.3,2,9,1310,11.8,0.525,0.505,0.164,2.4,9.8,6.1,19.9,2.5,0.7,13.4,19.8,0.1,1.7,1.8,0.066,-2,0.7,-1.2,0.3
"361",1563518,0,0,1,0,0,0,0,0,0,22,64,2,11.9,1.2,3.4,0.358,0.6,2.1,0.299,0.6,1.3,0.457,0.451,0.4,0.7,0.667,0.2,0.6,0.8,1.1,0.6,0.1,0.4,0.9,3.5,760,8.4,0.475,0.623,0.195,1.9,5.4,3.6,12.4,2.4,1,9.7,14.6,0,0.7,0.7,0.047,-3.6,1.4,-2.3,-0.1
"362",1563518,0,0,0,0,0,0,0,1,0,24,70,14,18.5,2.7,5.2,0.512,0.7,1.7,0.393,2,3.4,0.573,0.579,0.8,1,0.831,1,2,3,1.1,0.6,0.2,0.8,1.6,6.8,1297,12.2,0.607,0.336,0.196,5.5,12,8.7,8.3,1.4,1.1,12.2,14.5,1.4,1.2,2.6,0.097,-1.5,-0.5,-2.1,0
"363",1563518,1,0,0,0,0,0,0,0,0,27,69,4,14.2,2.6,4.9,0.528,0.3,1.2,0.25,2.3,3.7,0.621,0.559,1.1,1.5,0.752,1.7,2.3,4.1,1,0.2,0.4,0.9,1.8,6.6,979,16.4,0.595,0.249,0.312,13.2,18.6,15.8,10.1,0.8,2.7,13.3,19.3,1.5,1.2,2.7,0.132,-0.7,-0.4,-1.1,0.2
"364",1563518,0,1,0,0,0,0,0,0,0,22,62,12,19.1,2.9,5.2,0.56,0.4,1,0.391,2.5,4.2,0.602,0.599,1.2,1.6,0.72,0.7,3.2,3.8,2.1,0.5,0.2,1.1,1.9,7.4,1182,13.6,0.625,0.198,0.31,4.1,19.2,11.6,16,1.3,0.9,16.2,16.1,1.3,0.7,2.1,0.084,-1.4,-0.4,-1.8,0.1
"365",1563518,0,0,1,0,0,0,0,0,0,23,31,2,9,1.8,4.2,0.423,0.5,1.6,0.294,1.3,2.5,0.506,0.481,0.5,0.8,0.708,0.4,1.1,1.5,1.2,0.4,0.4,0.6,1.1,4.6,279,14.9,0.505,0.392,0.185,4.2,14.9,9.1,19.3,2.3,4.5,11.4,24.2,0,0.4,0.4,0.064,-1.1,0.6,-0.5,0.1
"366",1500000,1,0,0,0,0,0,0,0,0,22,58,19,13.8,1.2,2.6,0.48,0,0.2,0.083,1.2,2.4,0.514,0.483,0.6,1,0.627,1.4,1.5,2.9,0.5,0.4,1,0.3,2.2,3.1,802,11.4,0.517,0.08,0.393,11.1,13.3,12.1,5,1.3,6.9,10.2,10.4,0.7,1,1.7,0.104,-4.3,0.8,-3.5,-0.3
"367",1461055,0,0,0,0,0,0,0,1,0,20,46,7,17.1,1.7,4.4,0.396,0.6,1.7,0.325,1.2,2.7,0.443,0.46,1.3,1.7,0.75,0.4,1.6,2,1.2,0.3,0.1,0.9,1,5.3,787,7.2,0.519,0.396,0.396,2.7,10.1,6.3,9.1,0.9,0.7,15.3,15,-0.4,0.4,0.1,0.005,-4.6,-1.4,-6,-0.8
"368",1280206,0,0,1,0,0,0,0,0,0,24,62,7,17.8,2.5,5.7,0.448,0.6,1.9,0.322,1.9,3.8,0.511,0.501,0.9,1.1,0.768,0.9,2.4,3.3,2.7,0.9,0.4,0.9,1.5,6.6,1106,14.8,0.531,0.334,0.195,6,14.3,10.3,20.8,2.6,2,12.9,17.3,0.9,1.3,2.2,0.097,-0.7,1.4,0.7,0.8
"369",1200000,0,0,1,0,0,0,0,0,0,20,36,0,7.8,1,2.3,0.422,0.1,0.4,0.133,0.9,1.9,0.485,0.434,0.2,0.4,0.462,0.3,0.8,1.1,1.6,0.3,0.1,0.5,0.4,2.2,281,10.6,0.44,0.181,0.157,3.4,10.9,7.2,26.4,2,1.6,16.9,15.8,-0.1,0.4,0.3,0.044,-3.3,0.6,-2.7,0
"370",1160955,1,0,0,0,0,0,0,0,0,27,23,1,7.4,0.5,1,0.458,0,0.2,0.25,0.4,0.9,0.5,0.479,0.1,0.1,1,0.8,1.3,2.1,0.3,0.1,0.3,0.5,1.5,1.1,171,5.9,0.502,0.167,0.083,11.7,18.8,15.3,5.1,0.6,4,30.7,9.2,0,0.3,0.2,0.06,-7,0.7,-6.3,-0.2
"371",1116112,1,0,0,0,0,0,0,0,0,23,43,7,15.3,2.3,5.3,0.422,0.7,2.3,0.303,1.6,3,0.511,0.487,0.9,1.3,0.684,1.6,2.7,4.3,1.4,0.3,0.3,0.8,1.2,6.1,660,13.4,0.516,0.43,0.248,11.2,19,15.1,12.8,1,1.5,12.1,18.2,0.4,0.5,0.9,0.063,-1.1,-1.3,-2.4,-0.1
"372",1105522,0,0,0,0,0,0,0,1,0,26,5,0,11.8,1.8,4.4,0.409,1,3.6,0.278,0.8,0.8,1,0.523,0.4,0.4,1,0,1.8,1.8,1,0.8,0,0,0.6,5,59,15.5,0.546,0.818,0.091,0,18,9,12,3.4,0,0,17.3,0.1,0.1,0.2,0.16,-1.2,2.5,1.2,0
"373",1017781,0,0,0,0,0,0,0,1,0,23,16,0,4.1,0.6,1.4,0.391,0.1,0.4,0.143,0.5,1,0.5,0.413,0.1,0.1,1,0.3,0.4,0.8,0.1,0.1,0,0.1,0.1,1.3,66,7.7,0.44,0.304,0.087,8.2,11.7,10,3.9,0.7,0,7.7,16.5,0,0,0,-0.01,-4.2,-3.1,-7.4,-0.1
"374",1017781,0,0,0,0,0,0,0,1,0,20,48,5,14.8,3,6.9,0.438,1.3,3.3,0.404,1.7,3.7,0.469,0.533,1.4,1.6,0.823,0.2,1.6,1.9,1.4,0.4,0.1,1,1.3,8.8,708,14.6,0.571,0.468,0.237,1.8,13,7.3,14.9,1.2,0.9,11.1,26.4,0.2,0.5,0.7,0.048,-0.4,-1.9,-2.3,0
"375",1017781,0,0,1,0,0,0,0,0,0,20,12,0,5.2,0.6,1.7,0.35,0.3,0.8,0.333,0.3,0.9,0.364,0.425,0.5,0.5,1,0.3,0.8,1,0.5,0.1,0.1,1.3,0.8,1.9,62,-1.4,0.508,0.45,0.3,5.4,15.7,10.6,12.4,0.8,1.4,41.4,26.1,-0.3,0.1,-0.3,-0.218,-11.3,-3.7,-15,-0.2
"376",1017781,0,0,0,0,0,0,0,1,0,19,41,3,12.5,1.1,2.6,0.415,0.6,1.5,0.419,0.4,1.1,0.409,0.538,0.3,0.4,0.875,0.2,1.7,1.8,0.5,0.2,0.2,0.3,0.8,3.1,512,7.4,0.566,0.585,0.151,1.5,13.8,7.8,5.1,0.8,1.2,10.3,10.4,0.1,0.5,0.6,0.058,-3.2,0,-3.1,-0.1
"377",1017781,0,0,0,0,1,0,0,0,0,20,15,0,6.4,1.2,2.4,0.5,0.1,0.4,0.333,1.1,2,0.533,0.528,0.5,0.5,1,0.3,1.3,1.7,0.3,0.3,0.4,0.2,0.7,3.1,96,17.9,0.582,0.167,0.222,5.9,22.9,14.6,7.5,2,5.4,7.1,18.9,0.1,0.2,0.3,0.146,-1.9,0.4,-1.6,0
"378",1017781,0,0,0,0,1,0,0,0,0,20,56,0,11.1,1.5,3.5,0.419,0.3,1,0.286,1.2,2.5,0.472,0.46,0.6,0.8,0.756,0.9,1.5,2.3,0.6,0.2,0.2,0.5,1.2,3.9,619,9.6,0.496,0.283,0.227,8.8,15.5,12.2,7.8,0.8,1.9,11.8,17.3,-0.1,0.3,0.2,0.015,-3.9,-2.1,-6.1,-0.6
"379",1013119,0,0,0,0,1,0,0,0,0,25,40,6,16.1,2.5,5.7,0.443,0.6,2.2,0.281,1.9,3.5,0.547,0.498,1.3,1.9,0.68,1.1,1.7,2.8,0.7,0.7,0.1,0.9,2.3,7,645,10.9,0.533,0.39,0.329,7.1,11.8,9.4,6.3,2.1,0.4,11.5,19.3,0.1,0.5,0.6,0.042,-3.5,-0.9,-4.4,-0.4
